birthday,age,startDate,parttimePercentage,hometown,gender,disciplineWithLevel,office,organisationalUnit,fulltimeOrParttime,birthplace,birthcountry
11/6/1983,34,11/8/2014,90,Arnhem,Man,Senior Digital Marketeer,Utrecht,Strategie en OM Utrecht eFocus,Parttimer,Barneveld,Nederland
6/5/1978,39,1/1/2017,80,Maarn,Man,Senior Visual Designer,Utrecht,Creatie Utrecht eFocus,Fulltimer,Den Haag,Nederland
26/8/1995,22,13/3/2017,100,Amsterdam,Man,Senior Business Analyst,Amsterdam,Development Utrecht eFocus,Fulltimer,Hellendoorn,Nederland
17/6/1989,28,1/10/2011,100,Asten,Man,Managing Director,Eindhoven,eFocus,Fulltimer,Asten,Nederland
28/12/1971,45,1/9/2014,80,Amersfoort,Man,Front-end Developer,Amersfoort,Creatie Eindhoven eFocus,Parttimer,Laren NH,Nederland
12/4/1972,45,1/11/2017,90,Leiden,Man,Senior Front-end Developer,Utrecht,Creatie Utrecht eFocus,Fulltimer,Leiden,Nederland
4/11/1988,29,1/9/2017,85,Zwolle,Man,Senior UX Designer,Amersfoort,Creatie Utrecht eFocus,Parttimer,Harderwijk,Nederland
14/7/1982,35,1/10/2014,95,Zeist,Man,Technology Director,Utrecht,eFocus,Parttimer,Pijnacker,Nederland
5/2/1990,27,13/3/2017,80,Utrecht,Man,Visual Designer,Utrecht,Creatie Utrecht eFocus,Fulltimer,Oosterhout NB,Nederland
31/1/1990,27,1/12/2014,80,Amsterdam,Man,Senior Front-end Developer,Amsterdam,Creatie Utrecht eFocus,Parttimer,Amsterdam,Nederland
18/7/1969,48,1/10/2014,100,Ankeveen,Man,Senior Digital Marketeer,Utrecht,Strategie en OM Eindhoven eFocus,Fulltimer,Heerhugowaard,Nederland
19/3/1978,39,1/8/2008,100,Amersfoort,Man,Managing Director,Utrecht,eFocus,Fulltimer,Groningen,Nederland
19/8/1978,39,1/5/2008,100,Weert,Man,Chief Strategy Officer,Eindhoven,eFocus,Fulltimer,Drunen,Nederland
15/12/1978,39,1/8/2016,90,Utrecht,Man,Senior Front-end Developer,Utrecht,Creatie Eindhoven eFocus,Fulltimer,Utrecht,Nederland
27/6/1972,45,1/7/2007,80,Zeist,Man,Senior Visual Designer,Amersfoort,Creatie Amsterdam eFocus,Parttimer,Zeist,Nederland
22/5/1990,27,14/9/2017,80,Utrecht,Man,Senior developer,Amsterdam,Development Utrecht eFocus,Fulltimer,Utrecht,Nederland
2/12/1986,31,1/10/2011,100,Leiden,Man,Senior developer,Amsterdam,Development Utrecht eFocus,Fulltimer,Leiderdorp,Nederland
23/6/1992,25,1/3/2016,90,Purmerend,Man,Senior Business Analyst,Amersfoort,Development Amersfoort eFocus,Parttimer,Naarden,Nederland
22/11/1978,39,1/11/2016,100,De Bilt,Man,Senior Digital Marketeer,Utrecht,Strategie en OM Utrecht eFocus,Fulltimer,Doetinchem,Nederland
11/10/1987,30,1/4/2016,80,Leusden,Man,Visual Designer,Utrecht,Creatie Utrecht eFocus,Parttimer,Hardenberg,Nederland
7/7/1987,30,1/7/2015,100,Oisterwijk,Man,Senior Servicemanager,Eindhoven,PM en SM Amsterdam eFocus,Fulltimer,Sliedrecht,Nederland
19/1/1990,27,1/3/2016,80,Amsterdam,Man,Developer,Amsterdam,Development Utrecht eFocus,Parttimer,Breda,Nederland
29/6/1992,25,1/10/2017,100,Wijk bij Duurstede,Man,Senior projectmanager,Amsterdam,PM en SM Amsterdam eFocus,Fulltimer,Utrecht,Nederland
19/1/1990,27,1/3/2017,100,Monnickendam,Man,Account Director,Utrecht,Sales & accountmanagement,Parttimer,Vlaardingen,Nederland
6/2/1985,32,24/9/2012,90,Munstergeleen,Man,Software Architect,Eindhoven,Development Amsterdam eFocus,Fulltimer,Ukkel,Nederland
13/7/1990,27,1/2/2012,80,Apeldoorn,Man,Senior Accountmanager,Utrecht,Sales & accountmanagement,Parttimer,Apeldoorn,Nederland
30/5/1983,34,1/1/2016,100,Amersfoort,Man,Senior UX Designer,Utrecht,Creatie Amsterdam eFocus,Fulltimer,Amersfoort,Nederland
