name,lat,long
utrecht,52.0907374,5.1214201
leusden,52.1317932,5.4294692
amersfoort,52.1561113,5.3878266
woudenberg,52.0821751,5.4265952
driebergen-rijsenburg,52.0538746,5.2793363
zeist,52.0906015,5.2332526
zwolle,52.5167747,6.0830219
barneveld,52.1401901,5.5841509
lelystad,52.518537,5.471422
soest,52.1763515,5.299197
Almere,52.3507849,5.2647016
Boskoop,52.0742845,4.6584762
Tilburg,51.560596,5.0919143
Bavel,51.5668739,4.8308114
Houten,52.0029907,5.1857599
's-Hertogenbosch,51.6978162,5.3036748
Heerlen,50.8881742,5.9794988
Amsterdam,52.3702157,4.8951679
Veenendaal,52.0263009,5.5544309
IJsselstein Ut,52.0177649,5.0403003
Vleuten,52.1092812,5.0241424
Bilthoven,52.1365344,5.2103806
Maarssen,52.1319071,5.0171019
's-Gravenhage,52.0704978,4.3006999
Monnickendam,52.4555687,5.0392316
Zaandam,52.4420399,4.8291992
Baarn,52.2131825,5.2864096
De Bilt,52.1092717,5.1809676
Naarden,52.2952549,5.1604238
Hooglanderveen,52.1893644,5.4283866
Bunnik,52.0665285,5.2007761
Odijk,52.0521446,5.2356248
Druten,51.8940837,5.5942725
Zeewolde,52.331128,5.540495
Everdingen,51.9651631,5.1556903
Wormer,52.4986623,4.8124621
Rotterdam,51.9244201,4.4777325
Blokker,52.6607893,5.0847617
Hilversum,52.2291696,5.1668974
Ermelo,52.2986655,5.6296194
Leeuwarden,53.2012334,5.7999133
Alphen aan den Rijn,52.1276577,4.6688508
Zandvoort,52.3711487,4.533355
Apeldoorn,52.211157,5.9699231
Leiden,52.1601144,4.4970097
Alkmaar,52.6323813,4.7533754
Eindhoven,51.441642,5.4697225
Oisterwijk,51.5654243,5.2030282
Nieuwerkerk ad IJssel,51.9747541,4.6158773
Santa Eularia des Rui,38.9852753,1.5350964
Zuidoostbeemster,52.5151991,4.9421222
Helmond,51.4792547,5.6570096
Zeeland,51.4940309,3.8496815
Asten,51.4029943,5.7440776
Amstelveen,52.3114207,4.870087
Weert,51.2439415,5.7142222
Velsen-Noord,52.472747,4.6392466
De Meern,52.0757956,5.0319821
Veghel,51.6157885,5.5392399
Maarn,52.0655445,5.3768954
Krommenie,52.5034775,4.7571696
Haarlem,52.3873878,4.6462194
Stramproy,51.1943225,5.722053
Nieuw Vennep,52.2640283,4.6318006
Uithoorn,52.2446266,4.8317337
Mierlo,51.4389663,5.6200096
Sittard,51.0006238,5.8864788
Best,51.5077637,5.3978482
Montfoort,52.0362127,4.9518586
Harderwijk,52.3422025,5.6367423
Rosmalen,51.7171488,5.3608099
Ede Gld,52.0401675,5.6648594
Hensbroek,52.6581914,4.8848386
Nunspeet,52.3747719,5.769895
Vught,51.653306,5.2943466
Berkel-Enschot,51.5878583,5.1465219
Hamont-Achel,51.2697668,5.5154222
Burgh Haamstede,51.6979115,3.7379333
Coevorden,52.6613567,6.7410616
Nieuwegein,52.0248208,5.0918192
Vlaardingen,51.9120668,4.3494366
Pijnacker,52.0194446,4.431991
Breda,51.5719149,4.768323
Nijmegen,51.8125626,5.8372264
Hardenberg,52.5754084,6.6166947
Rijswijk,52.0376977,4.3219738
Teheran,35.6891975,51.3889736
Bergeyk,51.3197162,5.3574995
Rhenen,51.9621397,5.5711155
Sint Oedenrode,51.5655457,5.4620127
Huizen,52.2934853,5.2337949
Almelo,52.3670267,6.6684919
Bunschoten Spakenburg,52.25,5.366667
Tiel,51.8876176,5.4278765
Beilen,52.8599347,6.5146322
Dodewaard,51.9105136,5.6568202
Bandung,-6.9174639,107.6191228
Maastricht,50.8513682,5.6909725
Benevento,41.1297613,14.7826208
